OBJECTID,Join_Count,TARGET_FID,site_name,avulsion_year,z_p95_q,zlog_p95_q,z_mean_q,zlog_mean_q,z_flood_dur,zlog_flood_dur,av_type,site_area,site_lat,site_lon,country,continent,identity,climate
89,1,89,H007,2010,1.246713448,0.596736071,1.535648961,0.813105883,2.195282029,1.128502389,fan,Himalaya,26.8274,88.9309,India,Asia,31935c32-568c-50cf-ae8e-eae30e54f321,Cwb Temperate-Dry_Winter-Warm_Summer
90,1,90,H008,2006,-0.552500784,-0.15208414,-0.573337016,-0.266521618,-0.768941162,-0.303238792,fan,Himalaya,26.8164,89.4164,India,Asia,31935c32-568c-50cf-ae8e-eae30e54f321,Cwb Temperate-Dry_Winter-Warm_Summer
91,1,91,H009,1994,0.334369803,0.278023077,0.408460776,0.353818899,0.208978566,0.422486944,fan,Himalaya,27.4208,94.2478,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
92,1,92,H010,2006,-0.493254686,-0.130775676,-0.440547444,-0.162019498,-0.919251922,-0.494908362,fan,Himalaya,27.2954,94.0215,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
93,1,93,H011,2001,-0.204512073,0.042128166,0.103756277,0.186068842,-0.249077973,0.115304207,fan,Himalaya,26.7187,89.7586,Bhutan,Asia,31935c32-568c-50cf-ae8e-eae30e54f321,Cwb Temperate-Dry_Winter-Warm_Summer
94,1,94,H013,1990,0.534598792,0.408066909,1.039260801,0.734547549,0.820694378,0.786127952,fan,Himalaya,27.6664,94.8595,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
95,1,95,H015,1992,-0.935635692,-0.912981538,-0.924976741,-0.935339047,-1.130873716,-1.79977863,fan,Himalaya,26.9136,86.0457,Nepal,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
96,1,96,H016,2003,-0.309295061,-0.039000649,0.08095794,0.286500979,-0.129663474,0.33537734,fan,Himalaya,26.9491,85.8708,Nepal,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
97,1,97,H017,2002,-0.23946924,0.035478496,-0.171776514,0.033605431,-0.307606714,0.244689855,fan,Himalaya,26.9665,85.8416,Nepal,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
98,1,98,H020,2011,0.260456333,0.427985209,0.065899976,0.246452397,0.146526187,0.442396783,fan,Himalaya,27.293,84.3981,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
99,1,99,H021,2001,0.201515569,0.585078595,0.32249973,0.644308978,0.765606901,0.730799178,fan,Himalaya,27.3059,84.4932,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
100,1,100,H022,2010,3.706342063,1.677009363,3.568424594,1.935785832,2.075872587,1.041170213,fan,Himalaya,30.2296,77.7357,India,Asia,31935c32-568c-50cf-ae8e-eae30e54f321,Cwb Temperate-Dry_Winter-Warm_Summer
101,1,101,H023,2003,-0.248589269,0.03678764,0.088423125,0.277299518,-0.144854372,0.27517565,fan,Himalaya,26.3585,86.5211,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
102,1,102,H024,1999,0.024378472,0.501081363,-0.102275917,0.319981444,0.464523156,0.60713033,fan,Himalaya,29.3841,78.8862,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
103,1,103,H025,2006,-0.482007,-0.127461742,-0.416811163,-0.148543758,-0.368916312,0.119314989,fan,Himalaya,30.1847,77.809,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
104,1,104,H026,2001,-0.23912075,0.024817341,0.213392621,0.244971234,0.082879886,0.29674331,fan,Himalaya,26.8047,89.4131,India,Asia,31935c32-568c-50cf-ae8e-eae30e54f321,Cwb Temperate-Dry_Winter-Warm_Summer
105,1,105,H027,1992,-0.1647592,0.07727663,0.137782153,0.193320247,-0.308241655,0.058852647,fan,Himalaya,26.8423,88.9466,India,Asia,31935c32-568c-50cf-ae8e-eae30e54f321,Cwb Temperate-Dry_Winter-Warm_Summer
106,1,106,H028,2002,-0.449004126,-0.184522503,-0.263747579,-0.077650683,-0.475109205,0.060444437,fan,Himalaya,26.751,86.1495,Nepal,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
107,1,107,H029,2001,0.463257244,0.59628269,0.803246199,0.847914234,1.060924585,0.784942247,fan,Himalaya,29.2733,78.6082,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
108,1,108,H030,2001,0.406869646,0.667170587,0.586262458,0.787283116,0.63300671,0.6749073,fan,Himalaya,27.3056,84.4389,India,Asia,bd499a5c-1b1d-fbbd-727e-f431d021771b,Cwa Temperate-Dry_Winter-Hot_Summer
109,1,109,Indus.2010,2010,1.672736013,1.160577586,0.623102264,0.659705057,0.656165142,0.629476738,delta,Asia,24.7623,68.05843,Pakistan,Asia,db600ff0-1975-00c9-f8f1-4977b0415d03,BWh Arid-Desert-Hot
